item_id,Title,CurrentPrice,MedianSold,ActiveAvg,SuggestedPrice,SupplyCount,Note,UpdateStatus
236055643312,Michael Jordan 1991-92 SkyBox #583 Corner Issue Chicago Bulls,2.75,4.24,3.5,2.99,14,Browse BIN | Browse BIN (Tier1) | Active median P1,
236055643313,Michael Jordan 1991 All-Sports Superstars Career Highlights #NNO Chicago Bulls,4.99,,3.99,3.99,15,No solds | Browse BIN (Tier3) | Active median P1,Updated successfully (business policy warning only)
236055643314,Michael Jordan 1991 Tuff Stuff Jr. Special Issue NBA Finals #4 Chicago Bulls,6.99,7.19,7.19,7.19,3,Browse BIN | Browse BIN (Tier1) | Active median P1,
335914928477,Michael Jordan 1992 SkyBox USA #43 USA,2.75,5.98,2.74,2.75,15,Browse BIN | Browse BIN (Tier1) | Active median P1,
335914928479,Michael Jordan 1998-99 Topps Chrome Champion Spirit #CS1 Crease On Back,26.99,49.995000000000005,49.99,49.99,5,Browse BIN | Browse BIN (Tier1) | Active median P1,"API 200: <?xml version=""1.0"" encoding=""UTF-8""?>
<ReviseFixedPriceItemResponse xmlns=""urn:ebay:apis:eBLBaseComponents""><Timestamp>2025-11-18T01:05:20.173Z</Timestamp><Ack>Failure</Ack><Errors><ShortMessage>Auction ended.</ShortMessage><LongMessage>You are not allowed to revise ended listings.</LongMessage><Er"
335914928480,Michael Jordan 1991-92 Fleer #29 Chicago Bulls,3.25,3.99,2.0,2.0,15,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
335914928483,Michael Jordan 1990-91 Hoops #358 NM-MT OR BETTER Chicago Bulls,3.99,24.32,4.78,4.79,14,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
335914928484,Michael Jordan 1994 Collector's Choice #661 RC NM-MT OR BETTER Chicago White Sox,6.99,13.54,5.96,5.95,15,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
335914928486,Michael Jordan 1991 Upper Deck #SP1 RC Yellow Mark Chicago White Sox,19.99,69.99,19.75,19.75,15,Browse BIN | Browse BIN (Tier1) | Active median P1,
335914928487,Michael Jordan 1990-91 Hoops #65 Chicago Bulls,5.99,25.43,3.0,3.59,15,Browse BIN | ActiveCache | Active median P1,Updated successfully (business policy warning only)
335914928488,Michael Jordan 1998-99 Upper Deck Century Legends #1 Chicago Bulls,7.99,9.99,9.99,9.99,6,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
335914928489,Michael Jordan 1991-92 Upper Deck #44 NM-MT OR BETTER Chicago Bulls,4.99,8.55,2.99,3.49,15,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
335914928490,Michael Jordan 1991-92 SkyBox #583 NM-MT OR BETTER Chicago Bulls,4.99,4.24,3.5,3.5,14,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
335914928491,"Michael Jordan 1992 Prestige Raging Chicagoans Prototype #100 /60,000",12.99,9.99,5.5,7.79,14,Browse BIN | Browse BIN (Tier1) | Active median P1,"API 200: <?xml version=""1.0"" encoding=""UTF-8""?>
<ReviseFixedPriceItemResponse xmlns=""urn:ebay:apis:eBLBaseComponents""><Timestamp>2025-11-18T01:06:08.342Z</Timestamp><Ack>Failure</Ack><Errors><ShortMessage>Auction ended.</ShortMessage><LongMessage>You are not allowed to revise ended listings.</LongMessage><Er"
