item_id,Title,CurrentPrice,MedianSold,ActiveAvg,SuggestedPrice,SupplyCount,Note,UpdateStatus
336086208006,Derek Jeter 2001 Upper Deck Victory #654 New York Yankees Legend HOF,3.6,3.6,3.6,3.6,1,Browse BIN | ActiveCache | Active median P1,
336086208007,Derek Jeter ALCS (Yankees/Red Sox) 2000 Fleer Tradition #443 Legend HOF,2.0,1.99,2.0,2.0,2,Browse BIN | ActiveCache | Active median P1,
336086208008,Derek Jeter 2008 Upper Deck First Edition StarQuest Green #SQ-9 Yankees,1.65,2.87,1.65,1.65,14,Browse BIN | ActiveCache | Active median P1,
336086208009,Derek Jeter 2009 Upper Deck #261 New York Yankees Legend HOF,1.99,5.99,5.99,2.39,3,Browse BIN | ActiveCache | Active median P1,Updated successfully (business policy warning only)
336086208010,Derek Jeter 2013 Topps Archives 1983 All-Stars #83-DJ New York Yankees,3.6,3.5,3.5,3.5,1,Browse BIN | ActiveCache | Active median P1,
336086208011,Derek Jeter 1996 Pinnacle #279 New York Yankees Legend HOF,2.35,3.25,2.24,2.25,14,Browse BIN | ActiveCache | Active median P1,
336086208012,Derek Jeter 2005 Upper Deck ESPN #60 New York Yankees Legend HOF,3.0,2.97,3.0,3.0,6,Browse BIN | ActiveCache | Active median P1,
336086208013,Derek Jeter 1996 Circa #65 New York Yankees Legend HOF,152.2,152.2,152.2,152.2,2,Browse BIN | ActiveCache | Active median P1,
336086208014,Derek Jeter 2022 Topps Gallery Rainbow Foil #185 New York Yankees Legend HOF,3.1,2.98,2.88,2.89,9,Browse BIN | ActiveCache | Active median P1,
336086208015,Derek Jeter 1997-98 Fleer Million Dollar Moments #2 New York Yankees Legend HOF,1.99,3.49,1.98,1.99,12,Browse BIN | ActiveCache | Active median P1,
336086208016,AL Batting Average Garciaparra Derek Jeter Williams) 2000 Fleer Tradition #5,2.3,2.33,2.33,2.35,2,Browse BIN | ActiveCache | Active median P1,
336086208017,Derek Jeter 2002 Upper Deck World Series Heroes #83 New York Yankees,2.65,4.2,2.63,2.65,12,Browse BIN | ActiveCache | Active median P1,
336086208018,Derek Jeter 2022 Topps Allen & Ginter Banner Seasons #BS-37 New York Yankees,1.85,2.29,1.74,1.75,10,Browse BIN | ActiveCache | Active median P1,
336086208019,Derek Jeter 2001 Upper Deck Legends #43 New York Yankees Legend HOF,2.95,4.2,2.69,2.69,8,Browse BIN | ActiveCache | Active median P1,
336086208020,Derek Jeter 2000 Upper Deck Victory #376 New York Yankees Legend HOF,1.99,2.455,1.99,1.99,4,Browse BIN | ActiveCache | Active median P1,
336086208021,Derek Jeter 2014 Donruss #318 New York Yankees Legend HOF Captain,1.95,1.99,1.95,1.95,9,Browse BIN | ActiveCache | Active median P1,
336086208022,Derek Jeter 2020 Topps Update Rainbow Foil #U-257 New York Yankees,3.55,6.25,3.5,3.5,8,Browse BIN | ActiveCache | Active median P1,
336086208023,Derek Jeter 2002 SPx #39 New York Yankees Legend HOF Captain,2.5,2.62,2.5,2.5,8,Browse BIN | ActiveCache | Active median P1,
336086208024,Derek Jeter 2000 Upper Deck Victory #319 New York Yankees Legend HOF,1.99,2.2350000000000003,1.98,1.99,4,Browse BIN | ActiveCache | Active median P1,
336086208025,Derek Jeter 1997 Donruss Elite #24 New York Yankees Legend HOF,2.35,3.89,2.5,2.5,12,Browse BIN | ActiveCache | Active median P1,
336086208027,Derek Jeter 2001 Upper Deck MVP #142 New York Yankees Legend HOF,1.99,2.5,1.99,1.99,11,Browse BIN | ActiveCache | Active median P1,
336086208028,Derek Jeter 2002 Donruss Fan Club #5 New York Yankees Legend HOF,2.0,1.99,1.9,1.9,6,Browse BIN | ActiveCache | Active median P1,
336086208029,Derek Jeter 1997 Collector's Choice New York Yankees #NY5 New York Yankees,2.1,2.1,2.0,2.0,12,Browse BIN | ActiveCache | Active median P1,
336086208031,Derek Jeter 2022 Stadium Club Chrome #35 New York Yankees Legend HOF,2.2,8.370000000000001,2.24,2.25,10,Browse BIN | ActiveCache | Active median P1,
336086208032,Derek Jeter 2001 Topps Heritage Classic Renditions #CR9 New York Yankees,2.89,5.38,2.88,2.89,10,Browse BIN | ActiveCache | Active median P1,
336086208033,Derek Jeter 1997 Collector's Choice The Big Show #34 New York Yankees,1.69,2.115,1.69,1.69,13,Browse BIN | ActiveCache | Active median P1,
