item_id,Title,CurrentPrice,MedianSold,ActiveAvg,SuggestedPrice,SupplyCount,Note,UpdateStatus
236168862850,Justin Herbert 2022 Zenith 1992 Pacific Blue #PAC-3 Los Angeles Chargers,4.26,,1.99,2.56,10,Browse BIN | ActiveCache (Merged) | Active median P1,Updated successfully (business policy warning only)
336177495048,Barry Sanders 1993 Score The Franchise #8 NM-MT OR BETTER Detroit Lions,9.99,,1.98,5.99,11,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
336277786729,Kevin Garnett 1996-97 E-X2000 #40 Minnesota Timberwolves,10.27,,,6.16,0,No solds | No actives | No data | Base-floor fallback (no safe comps),Updated successfully (business policy warning only)
335935342834,Rickey Henderson 1981 Fleer #574 NM-MT OR BETTER Marked,8.8,4.24,2.24,5.28,14,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
236079886808,Mike Trout 2014 Topps Gypsy Queen SP #349 Los Angeles Angels,9.75,6.88,4.1,5.85,7,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
236419171682,Emmitt Smith 1995 Ultra Ultra Stars Gold Medallion #9 Dallas Cowboys HOF,10.59,,2.99,6.35,9,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
236200831504,Barry Sanders 1995 Stadium Club Extreme Corps Diffraction #x190 Detroit Lions,9.9,,,5.94,0,No solds | No actives | No data | Base-floor fallback (no safe comps),Updated successfully (business policy warning only)
236003144169,Alex Rodriguez 2013 Topps Heritage #69 NM-MT OR BETTER New York Yankees,4.15,2.37,1.98,2.49,5,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
335936878278,Rickey Henderson 1993 Leaf #291 NM-MT OR BETTER Oakland Athletics,2.45,1.94,2.25,2.25,17,Browse BIN | Browse (Merged) | Active median P1,
336136762892,Derek Jeter 1997 SkyBox E-X2000 Star Date 2000 #7 New York Yankees,19.1,,3.99,11.46,7,No solds | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
235995416290,Nolan Ryan 1996 Pacific Advil Nolan Ryan Retail #2a Texas Rangers,2.0,2.49,2.49,2.49,21,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
336255881959,Emmitt Smith / Curtis Martin 1996 Fleer Ultra Sensations Creative Chaos #3,19.99,,,,0,No solds | No actives | No data,
336277786731,Allen Iverson 1996-97 Finest Apprentice w/Coating RC #69 Philadelphia 76ers,21.99,,,13.19,0,No solds | No actives | No data | Base-floor fallback (no safe comps),Updated successfully (business policy warning only)
236223184697,Derek Jeter 2004 Fleer Legacy #2 New York Yankees Legend HOF,2.69,,2.24,2.25,11,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
335971265950,Emmitt Smith 1998 SPx Steel #12 MINT Dallas Cowboys,9.99,,3.19,5.99,8,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
236049202477,Marcus Camby 1997-98 E-X2001 #10 Toronto Raptors,19.45,,2.84,11.67,3,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
336233038601,Peyton Manning 1998 Collector's Edge First Place Triple Threat #21,11.0,9.0,5.99,6.6,10,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
236400723688,Emmitt Smith 1993 Superstars Promo Card Oddball RARE #NNO,99.99,,,59.99,0,No solds | No actives | No data | Base-floor fallback (no safe comps),Updated successfully (business policy warning only)
236409499368,Emmitt Smith 1994 Topps Special Effects #547 Dallas Cowboys,14.99,3.31,2.5,8.99,11,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
236398857659,Ken Griffey Jr. 2023 Topps Allen & Ginter #17 Cincinnati Reds,2.79,3.35,1.99,1.99,27,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
236136818302,Ken Griffey 1989 SCD Baseball Card Price Guide Monthly #3 Seattle Mariners,25.0,,,15.0,0,No solds | No actives | No data | Base-floor fallback (no safe comps),Updated successfully (business policy warning only)
336241680568,Emmitt Smith 1993 Pro Line Live #62 Dallas Cowboys,99.0,1.75,1.75,59.4,12,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
236409499366,Emmitt Smith 1995 Finest w/Coating #190 Dallas Cowboys,12.99,,4.99,7.79,2,No solds | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
236112778539,Steve Young 1997 Bowman's Best Cuts #BC14 MINT San Francisco 49ers,9.99,9.99,6.5,6.5,3,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
236400723672,Emmitt Smith 1997 Score Board NFL Experience #1 Dallas Cowboys,21.3,2.59,1.98,12.78,18,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
236428021630,Allen Iverson 1999-00 Hoops Calling Card #5CC Philadelphia 76ers,12.0,,,7.2,0,No solds | No actives | No data | Base-floor fallback (no safe comps),Updated successfully (business policy warning only)
236409499361,Emmitt Smith 2015 Topps Field Access All Access Blue SN #AAA-ES #/99,14.99,,7.95,8.99,2,No solds | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
335982051396,Will Clark 1996 Topps #299 NM-MT OR BETTER Texas Rangers,2.35,2.19,1.94,1.95,9,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
236112778535,Emmitt Smith 1997 Pro Line Memorabilia Signature Series #MEM12 Dallas Cowboys,49.99,,,29.99,0,No solds | No actives | No data | Base-floor fallback (no safe comps),Updated successfully (business policy warning only)
236400719091,Emmitt Smith 2000 Collector's Edge Masters Legends SN #ML8 Dallas Cowboys,10.49,,5.99,6.29,1,No solds | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
335976442749,Victor Wembanyama 2023-24 Panini NBA RPS First Look #RPS-1 San Antonio Spurs,8.99,8.46,7.94,7.95,2,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
336263124308,Vince Carter 2000-01 Fleer Premium 10th Anni-Vince-ry #1991-1992 Toronto Raptors,10.99,3.98,3.98,6.59,1,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
236428021235,Glen Rice 1996-97 Flair Showcase Flair Showcase Row 0 #44 Charlotte Hornets,9.89,,,5.93,0,No solds | No actives | No data | Base-floor fallback (no safe comps),Updated successfully (business policy warning only)
236118111870,Allen Iverson 1996-97 Bowman's Best Picks Die-Cut #BP9 Philadelphia 76ers,28.59,,,,0,No solds | No actives | No data,
236108281191,Tom Brady 2013 Topps Archives #12 MINT New England Patriots,11.3,,,6.78,0,No solds | No actives | No data | Base-floor fallback (no safe comps),Updated successfully (business policy warning only)
336233038589,Peyton Manning 1998 Collector's Edge Odyssey Galvanized Level 1 #212 Colts,15.0,,8.99,9.0,2,No solds | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
335966460341,Emmitt Smith 1994 Ultra Ultra Stars #8 Soft Corners Dallas Cowboys,11.99,,1.69,7.19,8,No solds | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
236107792109,Emmitt Smith 1994 Topps Special Effects #611 NM/MT Dallas Cowboys,13.3,5.37,2.25,7.98,10,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
336248490238,Emmitt Smith 1997 Stadium Club Never Compromise #NC21 Dallas Cowboys,14.99,9.88,9.88,9.89,1,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
236430292458,Arda Turan 2017-18 Panini Select X Factor Memorabilia Tie-Dye #XF-AT /30,24.99,,,,0,No solds | No actives | No data,
336011834129,Bo Jackson 1990 Grand Slam (unlicensed) #NNO NM-MT OR BETTER Kansas City Royals,2.9,4.74,2.25,2.25,33,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
336248487439,Emmitt Smith 1996 Bowman's Best #1 Dallas Cowboys,13.45,1.85,1.85,8.07,12,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
236107792115,Barry Sanders 1994 Images All-Pro #A6 #/2600 Detroit Lions,13.45,9.78,9.78,9.79,1,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
336248490233,Emmitt Smith 1996 Finest Sterling #265 Dallas Cowboys,12.99,5.99,5.99,7.79,11,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
335863469860,Mickey Mantle 2006 Topps '52 Rookies #311 Black New York Yankees,39.99,,1.99,23.99,6,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
336005620059,Paul Skenes 2024 Topps Update #US288 Pittsburgh Pirates,8.4,3.74,3.0,5.04,9,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
236108281190,Jerome Bettis 1993 Pacific Prisms RC #48 NM/MT Los Angeles Rams,9.65,9.65,9.65,9.65,1,Browse BIN | Browse (Merged) | Active median P1,
236077889355,Rickey Henderson 1994 Collector's Choice #510 Oakland Athletics,1.55,2.64,1.61,1.6,16,Browse BIN | Browse (Merged) | Active median P1,
336075948314,Brett Favre 1994 Pinnacle #36 Green Bay Packers HOF QB Legend,1.95,3.49,1.98,1.99,14,Browse BIN | Browse (Merged) | Active median P1,
236448938159,Boris Diaw 2003-04 Topps Pristine Refractors SN #162 /499 Atlanta Hawks,19.99,,,,0,No solds | No actives | No data,
336146787404,Derek Jeter 1996 Summit Silver Foilboard RC #171 New York Yankees,14.95,,2.24,8.97,11,No solds | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
335936926540,Rickey Henderson 1996 Upper Deck #378 San Diego Padres,1.75,2.51,1.75,1.75,18,Browse BIN | Browse (Merged) | Active median P1,
236291712033,Ken Griffey Jr. 1997 Circa Icon Rare Holo Foil #2 Seattle Mariners,14.0,,5.5,8.4,4,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
236466048095,Kiki Rice Gabriela Jaquez 2022 Topps Chrome McDonald's All American RayWave #100,5.99,3.16,2.38,3.59,11,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
236300119933,Barry Bonds 2005 Topps Chrome Updates Home Run History #BB325 Giants,9.3,9.3,9.3,9.3,1,Browse BIN | Browse (Merged) | Active median P1,
235994487123,Nolan Ryan 1992 Fleer #682 Texas Rangers,1.5,2.99,1.69,1.69,17,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
236300119935,Barry Bonds 2005 Topps Chrome Updates Home Run History #BB350 Giants,15.15,,3.65,9.09,1,No solds | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
335976442671,Tom Brady 2020 Panini Prestige #40 Tampa Bay Buccaneers,1.79,1.97,1.97,1.95,19,Browse BIN | Browse (Merged) | Active median P1,
335936926526,Rickey Henderson 1992 Upper Deck #155 NM-MT OR BETTER Oakland Athletics,1.85,3.98,1.99,1.99,22,Browse BIN | Browse (Merged) | Active median P1,
336183754333,Jeff Bagwell 2004 Topps Heritage Chrome Refractors #THC32 /555 Houston Astros,11.25,11.37,11.25,11.25,2,Browse BIN | Browse (Merged) | Active median P1,
336036092765,Justin Herbert 2021 Panini Select Green and Yellow Prizm Die Cut #19 Chargers,4.45,4.49,4.45,4.45,10,Browse BIN | ActiveCache (Merged) | Active median P1,
336051729541,Bo Jackson 1991 Fleer #416 Los Angeles Raiders,1.8,2.23,1.75,1.75,21,Browse BIN | ActiveCache (Merged) | Active median P1,
236463204101,Jalen Williams 2022-23 Panini Select Rookie Revolution Green Prizms #29 Thunder,5.4,5.7,5.05,5.05,5,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
336200957670,Charles Barkley 1992-93 Hoops #451 Phoenix Suns,1.49,2.59,1.75,1.75,12,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
336084148000,Jerry Rice 1995 Fleer Aerial Attack #4 San Francisco 49ers,1.99,1.99,2.24,2.25,25,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
